userid,model_name,questiontext,questiontype,pov_x_y_z,upvector,viewdir,fov
af40d634-feb3-47bc-94bb-0da6accd57ba,mug1.glb,Which cup would you prefer as a gift?,multi_model,"{1.088165,1.0200852,1.3324125}","{0,1,0}","{-0.5440825,-0.5100426,-0.66620624}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug1.glb,Which cup would you prefer as a gift?,multi_model,"{-2.147781,1.1215768,2.2993786}","{0,1,0}","{0.6429779,-0.33576474,-0.68836147}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug1.glb,Which cup would you prefer as a gift?,multi_model,"{-3.002924,0.6073683,-1.3310113}","{0,1,0}","{0.89898074,-0.18182692,0.3984628}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug1.glb,Which cup would you prefer as a gift?,multi_model,"{0.15659936,1.8633027,2.767963}","{0,1,0}","{-0.046880912,-0.55781406,-0.8286408}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug2.glb,Which cup would you prefer as a gift?,multi_model,"{-1.2141824,2.2061062,2.194743}","{0,1,0}","{0.36348793,-0.6604386,-0.6570368}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug2.glb,Which cup would you prefer as a gift?,multi_model,"{-1.1620573,0.15541153,-3.1278603}","{0,1,0}","{0.3478833,-0.04652531,0.9363827}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug2.glb,Which cup would you prefer as a gift?,multi_model,"{-3.1977887,0.84576434,0.46569267}","{0,1,0}","{0.9573171,-0.25319517,-0.1394137}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug2.glb,Which cup would you prefer as a gift?,multi_model,"{1.4828376,1.1424721,2.7665844}","{0,1,0}","{-0.4439148,-0.34202015,-0.8282282}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug2.glb,Which cup would you prefer as a gift?,multi_model,"{-1.4643967,0.6073683,2.9401846}","{0,1,0}","{0.43839422,-0.18182692,-0.88019854}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{0.006648714,0.013297649,1.9999447}","{0,1,0}","{-0.003324357,-0.0066488246,-0.99997234}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{0.0095207775,0.019041872,2.8638663}","{0,1,0}","{-0.003324357,-0.0066488246,-0.99997234}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{1.7241832,1.2597481,1.9085102}","{0,1,0}","{-0.6020307,-0.43986455,-0.6663919}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{-0.54337096,1.9549463,2.0211673}","{0,1,0}","{0.1897281,-0.682606,-0.70572823}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{-2.700738,-0.17127584,0.9374773}","{0,1,0}","{0.943013,0.059804153,-0.32733768}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{-1.2544982,-1.729263,1.907372}","{0,1,0}","{0.43803146,0.6038044,-0.66599447}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{2.4403508,-0.5674798,1.3873855}","{0,1,0}","{-0.852094,0.19814615,-0.48443154}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack1.glb,Which backpack would you take to the mountains?,multi_model,"{-0.8579099,0.62751144,1.6941724}","{0,1,0}","{0.42895496,-0.31375572,-0.8470862}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack1.glb,Which backpack would you take to the mountains?,multi_model,"{1.3377448,0.69652086,1.3135059}","{0,1,0}","{-0.6688724,-0.34826043,-0.65675294}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack1.glb,Which backpack would you take to the mountains?,multi_model,"{1.880362,0.46769884,0.49547583}","{0,1,0}","{-0.940181,-0.23384942,-0.24773791}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack2.glb,Which backpack would you take to the mountains?,multi_model,"{1.2454996,0.7891059,1.3513114}","{0,1,0}","{-0.6227498,-0.39455295,-0.6756557}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack2.glb,Which backpack would you take to the mountains?,multi_model,"{-1.3446027,0.6148714,1.3468395}","{0,1,0}","{0.67230135,-0.3074357,-0.6734198}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,backpack2.glb,Which backpack would you take to the mountains?,multi_model,"{-0.4986503,0.55766296,1.8548207}","{0,1,0}","{0.24932516,-0.27883148,-0.92741036}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{0.24999572,1.1430645,1.6220067}","{0,1,0}","{-0.12499786,-0.57153225,-0.8110033}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{1.6358287,0.71518385,0.9014302}","{0,1,0}","{-0.81791437,-0.35759193,-0.4507151}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{-0.9711295,0.26517183,1.7281758}","{0,1,0}","{0.48556474,-0.13258591,-0.8640879}",75
311440c2-1982-444f-8d29-49aa2fb990ed,backpack1.glb,Which backpack would you take to the mountains?,multi_model,"{0.44318384,-0.17971997,-1.7404925}","{0,1,0}","{-0.2455312,0.099567845,0.9642617}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{-1.1474572,0.71518385,1.4737211}","{0,1,0}","{0.5737286,-0.35759193,-0.7368606}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{-0.6539589,0.52566147,1.8154938}","{0,1,0}","{0.32697946,-0.26283073,-0.9077469}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{-0.3910637,0.6044331,2.4824302}","{0,1,0}","{0.1512988,-0.23384942,-0.9604286}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table.glb,Which desk would you choose for your home?,multi_model,"{1.5641077,1.2960744,1.5982767}","{0,1,0}","{-0.60513836,-0.50143886,-0.618358}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table1.glb,Which desk would you choose for your home?,multi_model,"{1.114463,0.5512747,1.5665467}","{0,1,0}","{-0.5572315,-0.27563736,-0.78327334}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table1.glb,Which desk would you choose for your home?,multi_model,"{-0.7464015,0.7275864,1.7068986}","{0,1,0}","{0.37320074,-0.3637932,-0.8534493}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table1.glb,Which desk would you choose for your home?,multi_model,"{-1.2575542,0.37672177,1.5088533}","{0,1,0}","{0.6287771,-0.18836088,-0.75442666}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table1.glb,Which desk would you choose for your home?,multi_model,"{-0.0147233065,1.3330654,2.2143736}","{0,1,0}","{0.005696307,-0.5157503,-0.85672003}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table2.glb,Which desk would you choose for your home?,multi_model,"{1.0377074,0.8195428,1.5005043}","{0,1,0}","{-0.5188537,-0.4097714,-0.7502521}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table2.glb,Which desk would you choose for your home?,multi_model,"{0.23023705,0.25858018,1.9698038}","{0,1,0}","{-0.115118526,-0.12929009,-0.9849019}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table2.glb,Which desk would you choose for your home?,multi_model,"{-1.0826371,0.34402195,1.6460698}","{0,1,0}","{0.54131854,-0.17201097,-0.8230349}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table2.glb,Which desk would you choose for your home?,multi_model,"{-1.1110142,0.9153784,1.3884271}","{0,1,0}","{0.5555071,-0.4576892,-0.69421357}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,table2.glb,Which desk would you choose for your home?,multi_model,"{1.4209151,0.42882127,-1.3405643}","{0,1,0}","{-0.71045756,-0.21441063,0.6702821}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car.glb,Which car looks faster to you?,multi_model,"{1.068483,0.13951294,1.6848977}","{0,1,0}","{-0.5342415,-0.06975647,-0.84244883}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car.glb,Which car looks faster to you?,multi_model,"{-1.0654092,0.20575042,1.6800506}","{0,1,0}","{0.5327046,-0.10287521,-0.8400253}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car.glb,Which car looks faster to you?,multi_model,"{-0.5640451,-3.430249e-15,1.9188156}","{0,1,0}","{0.28202254,1.7151245e-15,-0.9594078}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car1.glb,Which car looks faster to you?,multi_model,"{1.3918892,0.3046575,1.4035057}","{0,1,0}","{-0.6959446,-0.15232874,-0.70175284}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car1.glb,Which car looks faster to you?,multi_model,"{-0.7020059,0.52566147,1.7974615}","{0,1,0}","{0.35100296,-0.26283073,-0.89873075}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car2.glb,Which car looks faster to you?,multi_model,"{1.0730758,0.47416076,1.6197778}","{0,1,0}","{-0.5365379,-0.23708038,-0.8098889}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car2.glb,Which car looks faster to you?,multi_model,"{-1.0739312,0.50639033,1.6094224}","{0,1,0}","{0.5369656,-0.25319517,-0.8047112}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car2.glb,Which car looks faster to you?,multi_model,"{-1.9717842,0.13287951,0.30726227}","{0,1,0}","{0.9858921,-0.066439755,-0.15363114}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,car2.glb,Which car looks faster to you?,multi_model,"{-0.93986696,0.8013073,1.5730723}","{0,1,0}","{0.46993348,-0.40065366,-0.78653616}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,camera2.glb,Which camera looks more professional to you?,multi_model,"{1.7088,0.75229454,-0.7169768}","{0,1,0}","{-0.8544,-0.37614727,0.3584884}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,camera2.glb,Which camera looks more professional to you?,multi_model,"{0.015615287,1.2443787,1.5656557}","{0,1,0}","{-0.0078076436,-0.62218934,-0.78282785}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair1.glb,Which armchair would you sit on to read a book?,multi_model,"{-0.9135524,0.25858018,1.7602723}","{0,1,0}","{0.4567762,-0.12929009,-0.88013613}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair1.glb,Which armchair would you sit on to read a book?,multi_model,"{0.2706383,0.7442887,0.9806358}","{0,1,0}","{-0.21470729,-0.5904715,-0.77797437}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair2.glb,Which armchair would you sit on to read a book?,multi_model,"{-1.5150027,0.10823897,0.7958761}","{0,1,0}","{0.88351226,-0.0631223,-0.46413535}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair2.glb,Which armchair would you sit on to read a book?,multi_model,"{-0.60487926,0.51625127,1.4217199}","{0,1,0}","{0.37131655,-0.31691054,-0.8727495}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair2.glb,Which armchair would you sit on to read a book?,multi_model,"{0.6884586,0.7455814,1.27429}","{0,1,0}","{-0.42262328,-0.4576892,-0.7822469}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair2.glb,Which armchair would you sit on to read a book?,multi_model,"{-1.6168154,-0.1891168,-0.06184264}","{0,1,0}","{0.9925126,0.11609291,0.037963267}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,armchair2.glb,Which armchair would you sit on to read a book?,multi_model,"{-1.0733751,-0.06034224,0.8915854}","{0,1,0}","{0.768522,0.043204226,-0.638363}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant.glb,Which plant would you prefer on your balcony?,multi_model,"{0.5978233,1.1473703,1.2793351}","{0,1,0}","{-0.31244898,-0.53554606,-0.7845802}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant.glb,Which plant would you prefer on your balcony?,multi_model,"{1.2109458,1.241662,-1.0010409}","{0,1,0}","{-0.65212905,-0.58778524,0.47878614}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant.glb,Which plant would you prefer on your balcony?,multi_model,"{-0.28703558,0.9306496,2.4587588}","{0,1,0}","{0.11794125,-0.27563736,-0.9539989}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant.glb,Which plant would you prefer on your balcony?,multi_model,"{-1.3658477,2.0312886,1.2839663}","{0,1,0}","{0.51445425,-0.68017274,-0.52220863}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant.glb,Which plant would you prefer on your balcony?,multi_model,"{0.06911112,0.7905414,2.514457}","{0,1,0}","{-0.012959026,-0.22414117,-0.9744705}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant1.glb,Which plant would you prefer on your balcony?,multi_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant1.glb,Which plant would you prefer on your balcony?,multi_model,"{0.39538655,1.249577,1.510704}","{0,1,0}","{-0.19769327,-0.6247885,-0.755352}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant1.glb,Which plant would you prefer on your balcony?,multi_model,"{1.2840962,1.4317337,0.5488491}","{0,1,0}","{-0.6420481,-0.71586686,-0.27442455}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant1.glb,Which plant would you prefer on your balcony?,multi_model,"{1.1629982,1.5791429,0.44763866}","{0,1,0}","{-0.6420481,-0.71586686,-0.27442455}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant1.glb,Which plant would you prefer on your balcony?,multi_model,"{-0.3351252,0.7233642,1.804422}","{0,1,0}","{0.08160112,-0.32635388,-0.9417189}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant1.glb,Which plant would you prefer on your balcony?,multi_model,"{-1.238053,1.099018,1.1222229}","{0,1,0}","{0.6190265,-0.549509,-0.56111145}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant2.glb,Which plant would you prefer on your balcony?,multi_model,"{0.36517647,1.249577,1.5182897}","{0,1,0}","{-0.18258823,-0.6247885,-0.75914484}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant2.glb,Which plant would you prefer on your balcony?,multi_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant2.glb,Which plant would you prefer on your balcony?,multi_model,"{-1.7064843,0.7584509,0.7160052}","{0,1,0}","{0.85324216,-0.37922546,-0.3580026}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,plant2.glb,Which plant would you prefer on your balcony?,multi_model,"{0.6397913,1.2419031,2.4676857}","{0,1,0}","{-0.21751831,-0.4927852,-0.84252506}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,gym_machine__body_solid.glb,What does this machine train?,single_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,gym_machine__body_solid.glb,What does this machine train?,single_model,"{-1.254891,-0.079799026,0.5395555}","{0,1,0}","{0.82619476,-0.10618143,-0.5532881}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,gym_machine__body_solid.glb,What does this machine train?,single_model,"{-1.1785885,-0.0401087,0.74236256}","{0,1,0}","{0.7302535,-0.12929009,-0.6708307}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,gym_machine__body_solid.glb,What does this machine train?,single_model,"{-1.3796165,0.51652235,-0.5512714}","{0,1,0}","{0.8304774,-0.50143886,0.24262384}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,gym_machine__body_solid.glb,What does this machine train?,single_model,"{0.5322958,0.09453814,1.0642599}","{0,1,0}","{-0.46998063,-0.21441063,-0.8562396}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,gym_machine__body_solid.glb,What does this machine train?,single_model,"{0.52588373,0.21133669,1.5243702}","{0,1,0}","{-0.36028725,-0.22737977,-0.9047052}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,forniture.glb,Where would you place this pieces of furniture?,single_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,forniture.glb,Where would you place this pieces of furniture?,single_model,"{1.0042224,1.1321274,1.3076026}","{0,1,0}","{-0.5021112,-0.5660637,-0.6538013}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,forniture.glb,Where would you place this pieces of furniture?,single_model,"{-0.9922603,0.6464193,1.6116953}","{0,1,0}","{0.49613014,-0.32320964,-0.80584764}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,forniture.glb,Where would you place this pieces of furniture?,single_model,"{-0.67719203,0.26308623,1.6523383}","{0,1,0}","{0.37517565,-0.14575414,-0.91542286}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,forniture.glb,Which chair is more comfortable?,multi_model,"{-0.3971203,0.61170423,1.6511022}","{0,1,0}","{0.22001125,-0.3388943,-0.91473806}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair.glb,Which chair is more comfortable?,multi_model,"{0.9290978,1.0257986,1.4437848}","{0,1,0}","{-0.4645489,-0.5128993,-0.7218924}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair.glb,Which chair is more comfortable?,multi_model,"{-1.172979,0.5382355,0.5339688}","{0,1,0}","{0.839837,-0.38536927,-0.38231438}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair1.glb,Which chair is more comfortable?,multi_model,"{0.3862301,1.4270833,1.3469446}","{0,1,0}","{-0.19311506,-0.7135416,-0.6734723}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair1.glb,Which chair is more comfortable?,multi_model,"{1.3057481,0.30088598,0.60492134}","{0,1,0}","{-0.88815296,-0.20465876,-0.41145968}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair1.glb,Which chair is more comfortable?,multi_model,"{-0.85210687,0.451987,1.1095324}","{0,1,0}","{0.5795921,-0.3074357,-0.7546895}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair2.glb,Which chair is more comfortable?,multi_model,"{-1.6769924,0.56632906,0.35354328}","{0,1,0}","{0.9290817,-0.31375572,-0.19586886}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,chair2.glb,Which chair is more comfortable?,multi_model,"{0.27264565,0.23336862,1.7689625}","{0,1,0}","{-0.15105022,-0.12929009,-0.98003465}",75
